FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
64,Marandhoda,511,Sandy Clay Loam,Inceptisols,Oxyaquic Haplustepts,76.18169,12.02567,110.0,51.2,20.8,28.0,1.27,6.0,0.02,1.489,0.294,0.18,0.438,0.114,125.3
65,Marandhoda,511,Sandy Clay Loam,Inceptisols,Oxyaquic Haplustepts,76.18169,12.02567,110.0,50.0,19.6,30.4,1.21,5.65,0.03,1.489,0.307,0.193,0.438,0.114,125.8
66,Marandhoda,511,Sandy Clay,Inceptisols,Oxyaquic Haplustepts,76.18169,12.02567,110.0,38.0,21.6,40.4,0.28,6.22,0.2,1.472,0.366,0.243,0.444,0.123,135.5
67,Marandhoda,511,Sandy Clay,Inceptisols,Oxyaquic Haplustepts,76.18169,12.02567,110.0,42.8,20.2,37.0,0.48,6.11,0.05,1.496,0.344,0.224,0.435,0.119,131.0
68,Masalabetta,514,Clay Loam,Mollisols,Pachic Argiustolls,76.11928,12.16912,130.0,51.4,10.0,38.8,0.64,5.9,0.0,1.515,0.346,0.237,0.428,0.109,142.0
69,Masalabetta,514,Sandy Clay Loam,Mollisols,Pachic Argiustolls,76.11928,12.16912,130.0,63.6,13.3,23.3,2.81,5.6,0.23,1.391,0.279,0.173,0.475,0.106,137.7
70,Masalabetta,514,Sandy Clay Loam,Mollisols,Pachic Argiustolls,76.11928,12.16912,130.0,57.2,11.9,31.9,1.04,5.8,0.06,1.527,0.303,0.201,0.424,0.103,133.3
71,Masalabetta,514,Clay Loam,Mollisols,Pachic Argiustolls,76.11928,12.16912,130.0,49.0,13.5,37.6,0.48,5.8,0.05,1.517,0.34,0.228,0.428,0.111,144.9
72,Moorband,528,Clay,Mollisols,Pachic Argiustolls,76.20014,12.09671,110.0,49.0,4.3,46.7,0.55,5.9,0.0,1.478,0.395,0.282,0.442,0.114,124.9
73,Moorband,528,Sandy Clay Loam,Mollisols,Pachic Argiustolls,76.20014,12.09671,110.0,67.9,4.4,27.7,0.87,6.0,0.0,1.57,0.26,0.175,0.407,0.084,92.9
74,Moorband,528,Sandy Loam,Mollisols,Pachic Argiustolls,76.20014,12.09671,110.0,76.3,7.1,16.6,1.64,6.2,0.09,1.491,0.195,0.121,0.437,0.074,81.3
75,Moorband,528,Sandy Clay,Mollisols,Pachic Argiustolls,76.20014,12.09671,110.0,55.9,4.3,39.9,0.42,5.8,0.04,1.537,0.346,0.242,0.42,0.104,114.6
76,Nelsoge,572,Clay,Inceptisols,Aquic Haplustepts,76.47286,12.23409,90.0,23.1,16.2,58.0,0.44,8.55,0.12,1.287,0.461,0.341,0.514,0.12,107.9
77,Nelsoge,572,Clay,Inceptisols,Aquic Haplustepts,76.47286,12.23409,90.0,40.6,12.0,46.5,0.57,8.13,0.38,1.441,0.399,0.279,0.456,0.119,107.4
78,Nelsoge,572,Clay,Inceptisols,Aquic Haplustepts,76.47286,12.23409,90.0,43.5,10.5,44.8,0.31,9.43,0.72,1.469,0.386,0.268,0.446,0.117,105.6
79,Nelsoge,572,Clay,Inceptisols,Aquic Haplustepts,76.47286,12.23409,90.0,46.2,9.0,44.5,0.37,9.64,0.63,1.48,0.383,0.268,0.442,0.115,103.6
80,Rayalpadu,613,Sandy Loam,Alfisols,Typic Rhodustalfs,76.20777,12.40571,92.0,84.7,2.0,13.3,0.17,4.8,0.0,1.608,0.125,0.078,0.393,0.048,43.8
81,Rayalpadu,613,Clay,Alfisols,Typic Rhodustalfs,76.20777,12.40571,92.0,51.1,6.1,42.8,0.33,5.5,0.0,1.509,0.368,0.258,0.431,0.11,101.4
82,Rayalpadu,613,Clay,Alfisols,Typic Rhodustalfs,76.20777,12.40571,92.0,48.2,2.0,49.8,0.33,4.8,0.0,1.461,0.414,0.298,0.449,0.116,106.6
83,Rayalpadu,613,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.20777,12.40571,92.0,65.1,8.0,26.9,0.04,5.8,0.0,1.619,0.245,0.161,0.389,0.084,77.0
84,Bannihatti,62,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.38217,12.41464,115.0,66.8,5.5,26.5,0.51,6.52,0.05,1.591,0.247,0.164,0.4,0.084,96.1
85,Bannihatti,62,Sandy Clay,Alfisols,Typic Rhodustalfs,76.38217,12.41464,115.0,49.2,5.0,44.0,0.46,6.28,0.05,1.493,0.378,0.265,0.437,0.112,129.3
86,Bannihatti,62,Sandy Clay,Alfisols,Typic Rhodustalfs,76.38217,12.41464,115.0,55.8,3.2,40.5,0.0,6.34,0.06,1.547,0.346,0.242,0.416,0.104,119.4
87,Bannihatti,62,Sandy Clay,Alfisols,Typic Rhodustalfs,76.38217,12.41464,115.0,46.3,8.0,44.5,0.27,6.65,0.05,1.482,0.382,0.267,0.441,0.115,132.3
88,Shantigrama,640,Clay Loam,Mollisols,Typic Haplustolls,76.15443,12.00031,145.0,33.4,28.4,38.2,0.94,5.4,0.01,1.427,0.364,0.233,0.461,0.131,189.5
89,Shantigrama,640,Clay Loam,Mollisols,Typic Haplustolls,76.15443,12.00031,145.0,30.0,25.4,44.6,0.88,5.6,0.01,1.391,0.396,0.268,0.475,0.128,185.4
90,Shantigrama,640,Clay Loam,Mollisols,Typic Haplustolls,76.15443,12.00031,145.0,31.7,31.7,36.6,1.07,5.9,0.02,1.417,0.359,0.225,0.465,0.135,195.3
