FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
276,Chikkonahalli,163,Loamy Sand,Inceptisols,Typic Haplustepts,77.02622,12.26683,27.0,76.5,14.9,10.2,0.6,6.18,0.16,1.558,0.135,0.067,0.412,0.067,18.1
277,Chikkonahalli,163,Sandy Loam,Inceptisols,Typic Haplustepts,77.02622,12.26683,27.0,71.3,12.9,15.8,0.6,6.08,0.1,1.577,0.176,0.101,0.405,0.076,20.4
278,Hanumapura,270,Sandy Loam,Aridisols,Ustic Haplocambids,76.73445,12.41914,36.0,75.9,4.0,20.1,0.16,8.22,0.18,1.627,0.184,0.12,0.386,0.064,23.0
279,Hanumapura,270,Sandy Clay Loam,Aridisols,Ustic Haplocambids,76.73445,12.41914,36.0,74.2,4.2,21.5,0.08,8.45,0.18,1.633,0.195,0.128,0.384,0.067,24.0
280,Hanumapura,270,Sandy Clay Loam,Aridisols,Ustic Haplocambids,76.73445,12.41914,36.0,71.5,4.5,24.0,0.04,8.85,0.19,1.633,0.215,0.143,0.384,0.072,25.9
281,Bachahalli,41,Sandy Loam,Inceptisols,Typic Haplustepts,76.99251,12.28305,102.0,76.1,5.8,17.5,0.74,7.46,0.36,1.574,0.18,0.113,0.406,0.067,68.7
282,Bachahalli,41,Sandy Clay,Inceptisols,Typic Haplustepts,76.99251,12.28305,102.0,54.5,3.8,41.8,0.12,6.46,0.22,1.533,0.357,0.251,0.422,0.106,108.3
283,Bachahalli,41,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.99251,12.28305,102.0,67.2,4.2,28.5,0.17,7.15,0.23,1.612,0.254,0.172,0.392,0.082,83.3
284,Bachahalli,41,Sandy Clay,Inceptisols,Typic Haplustepts,76.99251,12.28305,102.0,58.0,5.8,36.2,0.43,6.07,0.18,1.555,0.32,0.221,0.413,0.1,101.9
285,Kestur,425,Sandy Clay Loam,Alfisols,Typic Paleustalfs,76.95794,12.28568,80.0,88.7,4.0,28.0,0.42,6.09,0.08,1.647,0.221,0.171,0.379,0.05,39.8
286,Kestur,425,Sand,Alfisols,Typic Paleustalfs,76.95794,12.28568,80.0,70.7,2.0,7.8,0.0,5.79,0.1,1.622,0.119,0.043,0.388,0.076,60.9
287,Kestur,425,Sandy Clay Loam,Alfisols,Typic Paleustalfs,76.95794,12.28568,80.0,66.3,4.8,22.8,0.3,6.0,0.13,1.606,0.221,0.139,0.394,0.082,65.9
288,Kestur,425,Sandy Clay Loam,Alfisols,Typic Paleustalfs,76.95794,12.28568,80.0,71.7,8.8,28.2,0.22,6.53,0.07,1.619,0.246,0.171,0.389,0.075,59.9
289,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.11069,12.22789,105.0,15.0,10.0,25.0,0.03,8.3,0.13,1.527,0.327,0.153,0.424,0.174,182.9
290,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.11069,12.22789,105.0,59.0,13.0,28.0,0.28,8.5,0.09,1.587,0.266,0.17,0.401,0.095,100.0
291,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.11069,12.22789,105.0,67.0,11.0,22.0,0.12,8.6,0.06,1.622,0.212,0.132,0.388,0.08,83.8
292,Sigulahalli,659,Clay,Inceptisols,Typic Haplustepts,77.11069,12.22789,105.0,38.0,17.0,45.0,0.03,8.4,0.12,1.453,0.39,0.268,0.452,0.122,128.2
293,Telanuru,698,Clay,Vertisols,Typic Haplusterts,77.01531,12.17097,120.0,25.5,7.5,62.2,0.33,8.33,0.27,1.266,0.484,0.366,0.522,0.118,141.9
294,Telanuru,698,Clay Loam,Vertisols,Typic Haplusterts,77.01531,12.17097,120.0,31.4,29.5,38.8,0.36,7.96,0.25,1.453,0.365,0.233,0.452,0.132,157.9
295,Telanuru,698,Clay,Vertisols,Typic Haplusterts,77.01531,12.17097,120.0,17.6,9.5,71.5,0.24,8.6,0.3,1.142,0.523,0.416,0.569,0.107,128.4
296,Telanuru,698,Clay,Vertisols,Typic Haplusterts,77.01531,12.17097,120.0,17.3,11.8,67.5,0.27,8.39,0.24,1.177,0.504,0.393,0.556,0.11,132.4
297,Telanuru,698,Clay,Vertisols,Typic Haplusterts,77.01531,12.17097,120.0,20.4,9.5,67.0,0.21,8.31,0.23,1.195,0.505,0.392,0.549,0.114,136.6
298,Manchalaghatta,502,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.59579,12.37528,23.0,61.0,10.6,28.2,0.43,6.16,0.15,1.581,0.266,0.173,0.403,0.093,21.4
299,Manchalaghatta,502,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.59579,12.37528,23.0,58.0,8.5,32.5,0.59,6.19,0.12,1.556,0.299,0.2,0.413,0.099,22.8
300,Ugranahalli,714,Sandy Loam,Alfisols,Typic Rhodustalfs,76.57396,12.36933,58.0,75.7,9.2,15.1,0.49,6.0,1.2,1.588,0.161,0.095,0.401,0.066,38.5
301,Ugranahalli,714,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.57396,12.36933,58.0,58.0,12.4,29.6,0.49,5.3,0.8,1.567,0.28,0.182,0.409,0.098,57.0
