SoilCode,SoilCode_1,Horizon_Th,Min_Depth_,Max_Depth_,Sand_Perce,Silt_Perce,Clay_Perce,EC_dcpermi,Organic_Ca,Excha_Calc,Excha_Magn,Excha_Sodi,Excha_Pota,Cation_Exc,Base_Satur,Excha_So_1,Texture,pH,SoilCode_2,Groups,Sub_Groups,Family_Tex,Family_Min,Family_Tem,Orders,Sub_Orders,Sub_Soil_C,Surface_Te,Sub_Soil_G,Effervesce,Horizon,Soil_Depth,SoilCode_3,Soil_Serie,Shape_Leng,Shape_Area,area_km2
502,502,13.0,10.0,23.0,58.0,8.5,32.5,0.12,0.59,9.0,7.2,0.1,0.2,23.1,71.43,0.87,Sandy Clay Loam,6.19,502,Ustorthents,Lithic Ustorthents,Loamy Skeletal,Mixed,Isohyperthermic,Entisols,Orthents,"2.5YR3/4, 5YR 4/6, 3/4",Sandy Clay Loam,40-60,,A-R,10-25(23),502,Manchalaghatta,1312265.6571,244930274.224,192.90471873415507
7,7,12.0,0.0,12.0,17.1,9.2,20.7,0.01,0.15,3.1,1.0,0.4,0.1,6.2,74.19,6.45,Sandy Clay Loam,6.4,7,Ustorthents,Lithic Ustorthents,Loamy Skeletal,Mixed,Isohyperthermic,Entisols,Orthents,"5YR 3/4,  3/3, 2.5YR 3/4, 4/6",Sandy Clay Loam,35,,A-R,10-25(25),7,Aisandra,1229287.59399,367232373.351,58.67294383963447
7,7,13.0,12.0,25.0,69.0,8.8,22.2,0.1,0.01,9.8,2.6,0.2,0.1,14.5,87.59,1.38,Sandy Clay Loam,6.2,7,Ustorthents,Lithic Ustorthents,Loamy Skeletal,Mixed,Isohyperthermic,Entisols,Orthents,"5YR 3/4,  3/3, 2.5YR 3/4, 4/6",Sandy Clay Loam,35,,A-R,10-25(25),7,Aisandra,1229287.59399,367232373.351,58.67294383963447
163,163,3.0,24.0,27.0,70.17,10.06,18.75,0.08,0.2,6.8,3.0,0.3,0.09,10.9,93.49,0.91,Sandy Loam,6.65,163,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"10YR5/4,6/4,4/4",Gravelly Loamy Sand,35-55,,A-Bw-Cr,25-50(27),163,Chikkonahalli,2430539.22384,478460230.073,5.233238406102123
163,163,10.0,0.0,10.0,76.51,14.87,10.25,0.16,0.6,8.6,1.2,0.06,0.02,11.9,83.03,0.17,Loamy Sand,6.18,163,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"10YR5/4,6/4,4/4",Gravelly Loamy Sand,35-55,,A-Bw-Cr,25-50(27),163,Chikkonahalli,2430539.22384,478460230.073,5.233238406102123
163,163,14.0,10.0,24.0,71.29,12.9,15.75,0.1,0.6,5.6,1.4,0.31,0.07,9.6,76.88,0.73,Sandy Loam,6.08,163,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"10YR5/4,6/4,4/4",Gravelly Loamy Sand,35-55,,A-Bw-Cr,25-50(27),163,Chikkonahalli,2430539.22384,478460230.073,5.233238406102123
270,270,10.0,0.0,10.0,75.9,4.0,20.1,0.18,0.16,10.7,3.8,2.78,0.58,13.96,127.94,19.91,Sandy Loam,8.22,270,Haplocambids,Ustic Haplocambids,Fine Loamy,Mixed,Isohyperthermic,Aridisols,Cambids,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4, 7.5YR 5/6",Sandy Loam,10-20,,Ap-Bw-Cr,25-50(36),270,Hanumapura,748091.27006,152482287.083,63.20977728584814
270,270,10.0,10.0,20.0,74.21,4.25,21.54,0.18,0.08,10.4,3.4,0.85,0.52,13.68,110.89,6.21,Sandy Clay Loam,8.45,270,Haplocambids,Ustic Haplocambids,Fine Loamy,Mixed,Isohyperthermic,Aridisols,Cambids,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4, 7.5YR 5/6",Sandy Loam,10-20,,Ap-Bw-Cr,25-50(36),270,Hanumapura,748091.27006,152482287.083,63.20977728584814
270,270,16.0,20.0,36.0,71.5,4.5,24.0,0.19,0.04,11.9,4.4,1.32,0.29,18.24,98.19,7.24,Sandy Clay Loam,8.85,270,Haplocambids,Ustic Haplocambids,Fine Loamy,Mixed,Isohyperthermic,Aridisols,Cambids,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4, 7.5YR 5/6",Sandy Loam,10-20,,Ap-Bw-Cr,25-50(36),270,Hanumapura,748091.27006,152482287.083,63.20977728584814
319,319,15.0,0.0,15.0,83.29,4.19,12.16,0.14,0.39,5.39,0.34,0.37,2.46,11.1,77.12,3.33,Sandy Loam,6.7,319,Rhodustalfs,Typic Rhodustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/4,Sandy Loam,35-55,,Ap-Bt-Cr,50-75(65),319,Hutagalli,4559029.2641,1037915714.93,2.894376767340336
319,319,21.0,44.0,65.0,53.19,12.2,34.31,0.12,0.21,10.21,0.69,0.27,2.31,16.1,83.73,1.68,Sandy Clay,6.6,319,Rhodustalfs,Typic Rhodustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/4,Sandy Loam,35-55,,Ap-Bt-Cr,50-75(65),319,Hutagalli,4559029.2641,1037915714.93,2.894376767340336
319,319,29.0,15.0,44.0,41.0,8.23,57.45,0.14,0.27,9.48,0.82,0.37,4.51,19.7,77.06,1.88,Clay,6.7,319,Rhodustalfs,Typic Rhodustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/4,Sandy Loam,35-55,,Ap-Bt-Cr,50-75(65),319,Hutagalli,4559029.2641,1037915714.93,2.894376767340336
423,423,18.0,0.0,18.0,70.1,2.0,26.0,0.18,0.15,12.0,4.75,0.33,0.11,29.12,59.03,1.13,Sandy Clay Loam,6.62,423,Rhodustalfs,Typic Rhodustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"2.5YR3/3,3/4",Sandy Clay Loam,40-80,,A-Bt-BC-CR,50-75(65),423,Kenchayanadoddi,2067951.43938,683689332.782,0.22449655700344082
423,423,20.0,45.0,65.0,64.16,5.25,29.0,0.08,0.09,8.25,3.5,0.36,0.13,26.24,46.65,1.37,Sandy Clay Loam,6.68,423,Rhodustalfs,Typic Rhodustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"2.5YR3/3,3/4",Sandy Clay Loam,40-80,,A-Bt-BC-CR,50-75(65),423,Kenchayanadoddi,2067951.43938,683689332.782,0.22449655700344082
